Area,Name,Rating,Total Ratings,Address,Latitude,Longitude,Popularity Score,Estimated Monthly Visitors,Average Spend,Estimated Revenue,Cafe Category,
Dadar,The Dessert Republic?? - Matunga,4.3,675,"Maheshwari Udhyaan, Kalyan Bhuvan, Dr Babasaheb Ambedkar Marg, near Oasiss, Matunga East, Mumbai, Maharashtra 400019, India",19.0265186,72.8561845,2902.5,16875,? 350.00,"? 59,06,250.00",Popular,
Dadar,Momos Cafe,4.9,12,"Shop No 1, Dadar West, Dadar, Mumbai, Maharashtra 400025, India",19.0148354,72.8321084,58.8,300,? 550.00,"? 1,65,000.00",Premium,
Dadar,Cafe Cadell,4.7,215,"Shop no 8, Bhagirathi Sadan, Swatantryaveer Savarkar Rd, near Yes Bank, Kataria Colony, Mahim, Mumbai, Maharashtra 400016, India",19.0304281,72.8386236,1010.5,5375,? 550.00,"? 29,56,250.00",Premium,
Dadar,Shanti Coffee House,3.9,511,"Dr. Ambedkar Road, Opposite Chitra Cinema, Shop No. 5,6&7, Dadar East, Mumbai, Maharashtra 400014, India",19.0116129,72.8437295,1992.9,12775,? 350.00,"? 44,71,250.00",Average,
Dadar,Koolar & Co,3.5,3943,"541, Dr Babasaheb Ambedkar Marg, Matunga East, Mumbai, Maharashtra 400019, India",19.0260734,72.8549846,13800.5,98575,? 350.00,"? 3,45,01,250.00",Average,
Dadar,Cafenately Coffee - Matunga,4.8,145,"Chandavarkar Rd, opp. Trilok Family Restaurant & Bar, Matunga (C.R.), Matunga East, Mumbai, Maharashtra 400019, India",19.0276757,72.851663,696,3625,? 550.00,"? 19,93,750.00",Premium,
Dadar,Costa Coffee,3.9,90,"W, Shop No 6, Ground Floor, 377 Amarkunj society Veer Savarkar Marg, Shivaji Park, Old Cadel Rd, Dadar, Mumbai, Maharashtra 400028, India",19.0258437,72.8357852,351,2250,? 350.00,"? 7,87,500.00",Average,
Dadar,Oven Fresh Restaurant Dadar,4.3,7730,"Kiran Building, 4/68, Ranade Rd, Chandrakant Dhuru Wadi, Dadar, Mumbai, Maharashtra 400028, India",19.0239578,72.8379967,33239,193250,? 350.00,"? 6,76,37,500.00",Popular,
Dadar,Cafe Mysore,4.2,5086,"Durlabh Niwas, 1/461, Dr Babasaheb Ambedkar Marg, Opp B.N. Maheshwari Udyan, Matunga East, Mumbai, Maharashtra 400019, India",19.0276064,72.8555044,21361.2,127150,? 350.00,"? 4,45,02,500.00",Popular,
Dadar,CAFE V J T I,4.1,810,"Pushpraj Building, 191, David S Barretto Rd, Wadala West, Mumbai, Maharashtra 400031, India",19.018442,72.8566669,3321,20250,? 350.00,"? 70,87,500.00",Popular,
